__fxdriver_unwrapped,connectEnd,connectStart,domComplete,domContentLoadedEventEnd,domContentLoadedEventStart,domInteractive,domLoading,domainLookupEnd,domainLookupStart,fetchStart,loadEventEnd,loadEventStart,navigationStart,redirectEnd,redirectStart,requestStart,responseEnd,responseStart,responseWaitTime,totalLoadWaitTime,unloadEventEnd,unloadEventStart
true,1352682965479,1352682965479,1352682971237,1352682971236,1352682971232,1352682971231,1352682965496,1352682965471,1352682965471,1352682965479,1352682971237,1352682971237,1352682965470,0,0,1352682965489,1352682971230,1352682965494,1235,5748,0,0
true,1352682971448,1352682971448,1352682975402,1352682975402,1352682975398,1352682975397,1352682971461,1352682971448,1352682971448,1352682971448,1352682975402,1352682975402,1352682971448,0,0,1352682971458,1352682975390,1352682971461,676,3944,1352682971462,1352682971462
true,1352682975444,1352682975444,1352682981100,1352682981100,1352682981095,1352682981094,1352682975448,1352682975444,1352682975444,1352682975444,1352682981100,1352682981100,1352682975444,0,0,1352682975445,1352682981093,1352682975447,558,5655,1352682975448,1352682975448
true,1352682981139,1352682981139,1352682986133,1352682986132,1352682986128,1352682986127,1352682981151,1352682981139,1352682981139,1352682981139,1352682986133,1352682986133,1352682981139,0,0,1352682981140,1352682986125,1352682981142,771,4993,1352682981152,1352682981151
true,1352682986173,1352682986173,1352682990476,1352682990476,1352682990471,1352682990470,1352682986184,1352682986173,1352682986173,1352682986173,1352682990476,1352682990476,1352682986173,0,0,1352682986174,1352682990469,1352682986177,885,4302,1352682986185,1352682986185
true,1352682990514,1352682990514,1352682995603,1352682995603,1352682995599,1352682995598,1352682990526,1352682990514,1352682990514,1352682990514,1352682995604,1352682995603,1352682990514,0,0,1352682990515,1352682995597,1352682990519,699,5089,1352682990527,1352682990527
true,1352682995644,1352682995644,1352683001115,1352683001114,1352683001111,1352683001110,1352682995647,1352682995644,1352682995644,1352682995644,1352683001115,1352683001115,1352682995644,0,0,1352682995645,1352683001109,1352682995647,778,5470,1352682995648,1352682995647
true,1352683001152,1352683001152,1352683005215,1352683005214,1352683005210,1352683005209,1352683001165,1352683001152,1352683001152,1352683001152,1352683005215,1352683005215,1352683001152,0,0,1352683001153,1352683005208,1352683001155,597,4062,1352683001166,1352683001166
true,1352683005255,1352683005255,1352683010350,1352683010350,1352683010346,1352683010345,1352683005259,1352683005255,1352683005255,1352683005255,1352683010351,1352683010350,1352683005255,0,0,1352683005256,1352683010344,1352683005258,775,5095,1352683005259,1352683005259
true,1352683010393,1352683010393,1352683015553,1352683015553,1352683015549,1352683015548,1352683010397,1352683010393,1352683010393,1352683010393,1352683015553,1352683015553,1352683010393,0,0,1352683010394,1352683015547,1352683010397,772,5159,1352683010397,1352683010397
true,1352683015594,1352683015594,1352683021215,1352683021215,1352683021211,1352683021210,1352683015605,1352683015593,1352683015593,1352683015594,1352683021216,1352683021215,1352683015593,0,0,1352683015595,1352683021209,1352683015598,625,5621,1352683015605,1352683015605
true,1352683021256,1352683021256,1352683026413,1352683026413,1352683026408,1352683026407,1352683021260,1352683021256,1352683021256,1352683021256,1352683026414,1352683026413,1352683021256,0,0,1352683021257,1352683026406,1352683021259,762,5157,1352683021260,1352683021260
true,1352683026456,1352683026456,1352683032246,1352683032246,1352683032242,1352683032241,1352683026468,1352683026456,1352683026456,1352683026456,1352683032246,1352683032246,1352683026456,0,0,1352683026465,1352683032240,1352683026468,927,5781,1352683026468,1352683026468
true,1352683032284,1352683032284,1352683037677,1352683037677,1352683037673,1352683037672,1352683032287,1352683032284,1352683032284,1352683032284,1352683037677,1352683037677,1352683032284,0,0,1352683032285,1352683037672,1352683032287,1091,5392,1352683032288,1352683032287
