__fxdriver_unwrapped,connectEnd,connectStart,domComplete,domContentLoadedEventEnd,domContentLoadedEventStart,domInteractive,domLoading,domainLookupEnd,domainLookupStart,fetchStart,loadEventEnd,loadEventStart,navigationStart,redirectEnd,redirectStart,requestStart,responseEnd,responseStart,responseWaitTime,totalLoadWaitTime,unloadEventEnd,unloadEventStart
true,1352691440978,1352691440978,1352691441566,1352691441161,1352691441158,1352691441154,1352691440996,1352691440969,1352691440968,1352691440978,1352691441566,1352691441566,1352691440968,0,0,1352691440989,1352691441102,1352691440992,94,577,0,0
true,1352691441618,1352691441618,1352691441742,1352691441742,1352691441739,1352691441738,1352691441629,1352691441618,1352691441618,1352691441618,1352691441742,1352691441742,1352691441618,0,0,1352691441627,1352691441737,1352691441629,59,115,1352691441630,1352691441630
true,1352691441785,1352691441785,1352691441897,1352691441897,1352691441893,1352691441893,1352691441789,1352691441785,1352691441785,1352691441785,1352691441897,1352691441897,1352691441785,0,0,1352691441786,1352691441892,1352691441788,61,111,1352691441789,1352691441789
true,1352691441940,1352691441940,1352691442057,1352691442057,1352691442054,1352691442053,1352691441943,1352691441940,1352691441940,1352691441940,1352691442058,1352691442057,1352691441940,0,0,1352691441941,1352691442050,1352691441943,62,117,1352691441944,1352691441943
true,1352691442105,1352691442105,1352691442220,1352691442220,1352691442217,1352691442216,1352691442109,1352691442105,1352691442105,1352691442105,1352691442220,1352691442220,1352691442105,0,0,1352691442106,1352691442216,1352691442108,60,114,1352691442109,1352691442109
true,1352691442262,1352691442262,1352691442390,1352691442390,1352691442384,1352691442376,1352691442265,1352691442262,1352691442262,1352691442262,1352691442390,1352691442390,1352691442262,0,0,1352691442263,1352691442374,1352691442265,53,127,1352691442266,1352691442265
true,1352691442549,1352691442549,1352691443138,1352691443137,1352691443131,1352691443130,1352691442552,1352691442549,1352691442549,1352691442549,1352691443138,1352691443138,1352691442549,0,0,1352691442550,1352691443120,1352691442552,248,588,1352691442553,1352691442552
true,1352691443197,1352691443197,1352691443700,1352691443700,1352691443694,1352691443693,1352691443213,1352691443195,1352691443195,1352691443197,1352691443701,1352691443700,1352691443195,0,0,1352691443197,1352691443691,1352691443201,189,504,1352691443213,1352691443213
true,1352691443757,1352691443757,1352691444076,1352691444075,1352691444070,1352691444068,1352691443761,1352691443755,1352691443755,1352691443757,1352691444077,1352691444076,1352691443755,0,0,1352691443757,1352691444067,1352691443760,183,320,1352691443761,1352691443761
true,1352691444150,1352691444150,1352691444420,1352691444420,1352691444415,1352691444414,1352691444170,1352691444149,1352691444149,1352691444150,1352691444421,1352691444420,1352691444149,0,0,1352691444151,1352691444412,1352691444159,134,270,1352691444171,1352691444170
