__fxdriver_unwrapped,connectEnd,connectStart,domComplete,domContentLoadedEventEnd,domContentLoadedEventStart,domInteractive,domLoading,domainLookupEnd,domainLookupStart,fetchStart,loadEventEnd,loadEventStart,navigationStart,redirectEnd,redirectStart,requestStart,responseEnd,responseStart,responseWaitTime,totalLoadWaitTime,unloadEventEnd,unloadEventStart
true,1352696074606,1352696074606,1352696081402,1352696081321,1352696081320,1352696081274,1352696080276,1352696074566,1352696074565,1352696074606,1352696081403,1352696081402,1352696074564,0,0,1352696074619,1352696080276,1352696080276,5657,6784,0,0
true,1352696081557,1352696081557,1352696085364,1352696085357,1352696085356,1352696085355,1352696085326,1352696081556,1352696081556,1352696081557,1352696085365,1352696085364,1352696081556,0,0,1352696081557,1352696085266,1352696085266,3709,3808,1352696085327,1352696085326
true,1352696085440,1352696085440,1352696090298,1352696090291,1352696090290,1352696090289,1352696090270,1352696085439,1352696085439,1352696085440,1352696090298,1352696090298,1352696085439,0,0,1352696085440,1352696090270,1352696090270,4830,4858,1352696090271,1352696090270
true,1352696090372,1352696090372,1352696096044,1352696096037,1352696096036,1352696096034,1352696096007,1352696090371,1352696090371,1352696090372,1352696096044,1352696096044,1352696090371,0,0,1352696090372,1352696096007,1352696096006,5634,5672,1352696096007,1352696096007
true,1352696096120,1352696096120,1352696099545,1352696099538,1352696099537,1352696099536,1352696099518,1352696096120,1352696096120,1352696096120,1352696099546,1352696099545,1352696096120,0,0,1352696096121,1352696099517,1352696099517,3396,3425,1352696099518,1352696099518
true,1352696099616,1352696099616,1352696104348,1352696104341,1352696104341,1352696104339,1352696104311,1352696099615,1352696099615,1352696099616,1352696104349,1352696104348,1352696099615,0,0,1352696099616,1352696104311,1352696104310,4694,4733,1352696104311,1352696104311
true,1352696104428,1352696104428,1352696110327,1352696110320,1352696110319,1352696110310,1352696110291,1352696104427,1352696104427,1352696104428,1352696110328,1352696110327,1352696104427,0,0,1352696104428,1352696110291,1352696110291,5863,5900,1352696110291,1352696110291
true,1352696110398,1352696110398,1352696114526,1352696114518,1352696114517,1352696114516,1352696114485,1352696110397,1352696110397,1352696110398,1352696114526,1352696114526,1352696110397,0,0,1352696110398,1352696114484,1352696114484,4086,4128,1352696114486,1352696114485
true,1352696114605,1352696114605,1352696119019,1352696119010,1352696119009,1352696119008,1352696118980,1352696114604,1352696114604,1352696114605,1352696119019,1352696119019,1352696114604,0,0,1352696114606,1352696118980,1352696118979,4373,4413,1352696118980,1352696118980
true,1352696119108,1352696119108,1352696124353,1352696124346,1352696124345,1352696124343,1352696124315,1352696119107,1352696119107,1352696119108,1352696124354,1352696124353,1352696119107,0,0,1352696119108,1352696124314,1352696124314,5206,5246,1352696124315,1352696124315
true,1352696124431,1352696124431,1352696128404,1352696128397,1352696128397,1352696128395,1352696128373,1352696124430,1352696124430,1352696124431,1352696128405,1352696128404,1352696124430,0,0,1352696124432,1352696128373,1352696128373,3941,3973,1352696128374,1352696128373
true,1352696128485,1352696128485,1352696132397,1352696132389,1352696132388,1352696132387,1352696132355,1352696128484,1352696128484,1352696128485,1352696132398,1352696132397,1352696128484,0,0,1352696128486,1352696132355,1352696132355,3869,3912,1352696132356,1352696132356
true,1352696132478,1352696132478,1352696138051,1352696138044,1352696138043,1352696138041,1352696138020,1352696132477,1352696132477,1352696132478,1352696138052,1352696138051,1352696132477,0,0,1352696132480,1352696138019,1352696138019,5539,5572,1352696138020,1352696138020
true,1352696138155,1352696138155,1352696142463,1352696142456,1352696142455,1352696142454,1352696142426,1352696138154,1352696138154,1352696138155,1352696142464,1352696142463,1352696138154,0,0,1352696138155,1352696142425,1352696142425,4270,4309,1352696142426,1352696142426
true,1352696142538,1352696142538,1352696147712,1352696147705,1352696147704,1352696147703,1352696147675,1352696142537,1352696142537,1352696142538,1352696147713,1352696147712,1352696142537,0,0,1352696142538,1352696147674,1352696147674,5136,5175,1352696147675,1352696147675
true,1352696147789,1352696147789,1352696153905,1352696153897,1352696153896,1352696153895,1352696153865,1352696147788,1352696147788,1352696147789,1352696153905,1352696153905,1352696147788,0,0,1352696147790,1352696153865,1352696153865,6075,6115,1352696153866,1352696153865
true,1352696153992,1352696153992,1352696158299,1352696158292,1352696158291,1352696158290,1352696158268,1352696153991,1352696153991,1352696153992,1352696158300,1352696158299,1352696153991,0,0,1352696153993,1352696158267,1352696158267,4274,4307,1352696158268,1352696158268
true,1352696158402,1352696158402,1352696162401,1352696162393,1352696162393,1352696162391,1352696162362,1352696158401,1352696158401,1352696158402,1352696162402,1352696162401,1352696158401,0,0,1352696158403,1352696162361,1352696162361,3958,3999,1352696162362,1352696162362
true,1352696162513,1352696162513,1352696168387,1352696168380,1352696168380,1352696168378,1352696168339,1352696162512,1352696162512,1352696162513,1352696168388,1352696168387,1352696162512,0,0,1352696162513,1352696168339,1352696168338,5825,5875,1352696168340,1352696168339
