__fxdriver_unwrapped,connectEnd,connectStart,domComplete,domContentLoadedEventEnd,domContentLoadedEventStart,domInteractive,domLoading,domainLookupEnd,domainLookupStart,fetchStart,loadEventEnd,loadEventStart,navigationStart,redirectEnd,redirectStart,requestStart,responseEnd,responseStart,responseWaitTime,totalLoadWaitTime,unloadEventEnd,unloadEventStart
true,1352692407403,1352692407403,1352692410198,1352692410156,1352692410155,1352692410151,1352692410084,1352692407395,1352692407394,1352692407403,1352692410199,1352692410198,1352692407393,0,0,1352692407415,1352692410083,1352692410083,2668,2784,0,0
true,1352692410274,1352692410274,1352692412759,1352692412751,1352692412751,1352692412745,1352692412726,1352692410273,1352692410273,1352692410274,1352692412760,1352692412759,1352692410273,0,0,1352692410274,1352692412725,1352692412725,2451,2486,1352692412726,1352692412726
true,1352692412833,1352692412833,1352692415572,1352692415566,1352692415565,1352692415564,1352692415546,1352692412833,1352692412833,1352692412833,1352692415573,1352692415572,1352692412833,0,0,1352692412835,1352692415534,1352692415534,2699,2738,1352692415547,1352692415546
true,1352692415641,1352692415641,1352692418256,1352692418249,1352692418249,1352692418243,1352692418224,1352692415640,1352692415640,1352692415641,1352692418257,1352692418256,1352692415640,0,0,1352692415641,1352692418223,1352692418223,2582,2616,1352692418224,1352692418224
true,1352692418334,1352692418334,1352692420939,1352692420933,1352692420932,1352692420926,1352692420907,1352692418332,1352692418332,1352692418334,1352692420940,1352692420939,1352692418332,0,0,1352692418334,1352692420907,1352692420906,2572,2606,1352692420907,1352692420907
true,1352692421025,1352692421025,1352692423575,1352692423568,1352692423567,1352692423566,1352692423543,1352692421024,1352692421024,1352692421025,1352692423576,1352692423575,1352692421024,0,0,1352692421026,1352692423542,1352692423542,2516,2550,1352692423543,1352692423543
true,1352692423648,1352692423648,1352692426275,1352692426268,1352692426267,1352692426266,1352692426247,1352692423647,1352692423647,1352692423648,1352692426275,1352692426275,1352692423647,0,0,1352692423648,1352692426247,1352692426247,2599,2627,1352692426248,1352692426248
true,1352692426343,1352692426343,1352692428940,1352692428933,1352692428932,1352692428931,1352692428901,1352692426342,1352692426342,1352692426343,1352692428941,1352692428940,1352692426342,0,0,1352692426356,1352692428901,1352692428901,2545,2585,1352692428902,1352692428901
true,1352692429018,1352692429018,1352692431616,1352692431609,1352692431609,1352692431607,1352692431588,1352692429017,1352692429017,1352692429018,1352692431617,1352692431616,1352692429017,0,0,1352692429025,1352692431588,1352692431588,2563,2592,1352692431589,1352692431588
true,1352692431754,1352692431754,1352692434359,1352692434352,1352692434352,1352692434343,1352692434324,1352692431753,1352692431753,1352692431754,1352692434360,1352692434359,1352692431753,0,0,1352692431754,1352692434323,1352692434323,2569,2606,1352692434324,1352692434324
true,1352692434426,1352692434426,1352692437003,1352692436996,1352692436995,1352692436986,1352692436966,1352692434425,1352692434425,1352692434426,1352692437003,1352692437003,1352692434425,0,0,1352692434426,1352692436966,1352692436966,2540,2577,1352692436967,1352692436966
true,1352692437071,1352692437071,1352692439542,1352692439535,1352692439534,1352692439533,1352692439515,1352692437070,1352692437070,1352692437071,1352692439542,1352692439542,1352692437070,0,0,1352692437071,1352692439515,1352692439514,2443,2471,1352692439516,1352692439515
true,1352692439629,1352692439629,1352692442267,1352692442260,1352692442259,1352692442258,1352692442230,1352692439628,1352692439628,1352692439629,1352692442268,1352692442267,1352692439628,0,0,1352692439629,1352692442230,1352692442230,2601,2639,1352692442231,1352692442230
true,1352692442342,1352692442342,1352692445031,1352692445024,1352692445023,1352692445022,1352692444994,1352692442341,1352692442341,1352692442342,1352692445032,1352692445031,1352692442341,0,0,1352692442343,1352692444994,1352692444994,2651,2689,1352692444995,1352692444994
true,1352692445106,1352692445106,1352692447610,1352692447602,1352692447601,1352692447599,1352692447571,1352692445105,1352692445105,1352692445106,1352692447611,1352692447610,1352692445105,0,0,1352692445106,1352692447570,1352692447570,2464,2505,1352692447572,1352692447571
true,1352692447679,1352692447679,1352692450386,1352692450378,1352692450378,1352692450376,1352692450353,1352692447678,1352692447678,1352692447679,1352692450387,1352692450386,1352692447678,0,0,1352692447679,1352692450353,1352692450353,2674,2708,1352692450354,1352692450353
true,1352692450462,1352692450462,1352692453067,1352692453061,1352692453060,1352692453059,1352692453015,1352692450461,1352692450461,1352692450462,1352692453068,1352692453067,1352692450461,0,0,1352692450463,1352692453015,1352692453015,2552,2605,1352692453016,1352692453015
true,1352692453247,1352692453247,1352692455959,1352692455952,1352692455951,1352692455943,1352692455924,1352692453246,1352692453246,1352692453247,1352692455959,1352692455959,1352692453246,0,0,1352692453248,1352692455924,1352692455924,2676,2711,1352692455925,1352692455924
true,1352692456022,1352692456022,1352692458510,1352692458503,1352692458502,1352692458493,1352692458475,1352692456021,1352692456021,1352692456022,1352692458511,1352692458510,1352692456021,0,0,1352692456022,1352692458474,1352692458474,2452,2489,1352692458475,1352692458475
true,1352692458576,1352692458576,1352692460906,1352692460899,1352692460898,1352692460897,1352692460878,1352692458575,1352692458575,1352692458576,1352692460906,1352692460906,1352692458575,0,0,1352692458576,1352692460878,1352692460878,2302,2330,1352692460879,1352692460879
true,1352692460973,1352692460973,1352692463507,1352692463500,1352692463499,1352692463498,1352692463470,1352692460972,1352692460972,1352692460973,1352692463508,1352692463507,1352692460972,0,0,1352692460973,1352692463469,1352692463469,2496,2535,1352692463470,1352692463470
true,1352692463584,1352692463584,1352692466218,1352692466211,1352692466209,1352692466199,1352692466180,1352692463583,1352692463583,1352692463584,1352692466219,1352692466218,1352692463583,0,0,1352692463584,1352692466180,1352692466180,2596,2635,1352692466181,1352692466180
true,1352692466287,1352692466287,1352692468888,1352692468882,1352692468881,1352692468872,1352692468852,1352692466286,1352692466286,1352692466287,1352692468889,1352692468888,1352692466286,0,0,1352692466287,1352692468852,1352692468852,2565,2602,1352692468853,1352692468852
true,1352692468962,1352692468962,1352692471623,1352692471615,1352692471615,1352692471613,1352692471569,1352692468961,1352692468961,1352692468962,1352692471624,1352692471623,1352692468961,0,0,1352692468963,1352692471569,1352692471569,2606,2661,1352692471570,1352692471569
true,1352692471698,1352692471698,1352692474267,1352692474260,1352692474259,1352692474250,1352692474231,1352692471697,1352692471697,1352692471698,1352692474267,1352692474267,1352692471697,0,0,1352692471698,1352692474230,1352692474230,2532,2569,1352692474231,1352692474231
true,1352692474335,1352692474335,1352692476907,1352692476899,1352692476899,1352692476890,1352692476869,1352692474334,1352692474334,1352692474335,1352692476908,1352692476907,1352692474334,0,0,1352692474336,1352692476869,1352692476869,2533,2572,1352692476870,1352692476870
true,1352692477018,1352692477018,1352692479600,1352692479593,1352692479592,1352692479591,1352692479558,1352692477017,1352692477017,1352692477018,1352692479601,1352692479600,1352692477017,0,0,1352692477018,1352692479558,1352692479558,2540,2583,1352692479559,1352692479558
true,1352692479688,1352692479688,1352692482201,1352692482193,1352692482193,1352692482191,1352692482164,1352692479687,1352692479687,1352692479688,1352692482202,1352692482201,1352692479687,0,0,1352692479688,1352692482164,1352692482164,2476,2514,1352692482165,1352692482164
true,1352692482275,1352692482275,1352692484881,1352692484874,1352692484873,1352692484865,1352692484845,1352692482274,1352692482274,1352692482275,1352692484882,1352692484881,1352692482274,0,0,1352692482276,1352692484844,1352692484844,2568,2606,1352692484846,1352692484845
true,1352692484953,1352692484953,1352692487449,1352692487442,1352692487441,1352692487433,1352692487413,1352692484952,1352692484952,1352692484953,1352692487450,1352692487449,1352692484952,0,0,1352692484954,1352692487413,1352692487413,2459,2496,1352692487414,1352692487413
true,1352692487516,1352692487516,1352692490101,1352692490093,1352692490093,1352692490085,1352692490065,1352692487515,1352692487515,1352692487516,1352692490102,1352692490101,1352692487515,0,0,1352692487516,1352692490065,1352692490065,2549,2586,1352692490066,1352692490065
true,1352692490183,1352692490183,1352692492636,1352692492629,1352692492629,1352692492621,1352692492600,1352692490182,1352692490182,1352692490183,1352692492637,1352692492636,1352692490182,0,0,1352692490184,1352692492600,1352692492600,2416,2453,1352692492601,1352692492600
true,1352692492710,1352692492710,1352692495165,1352692495157,1352692495157,1352692495155,1352692495137,1352692492709,1352692492709,1352692492710,1352692495165,1352692495165,1352692492709,0,0,1352692492711,1352692495137,1352692495137,2426,2454,1352692495138,1352692495137
true,1352692495233,1352692495233,1352692497903,1352692497894,1352692497894,1352692497892,1352692497868,1352692495232,1352692495232,1352692495233,1352692497904,1352692497903,1352692495232,0,0,1352692495233,1352692497864,1352692497864,2631,2671,1352692497869,1352692497868
true,1352692497981,1352692497981,1352692500646,1352692500638,1352692500638,1352692500636,1352692500608,1352692497980,1352692497980,1352692497981,1352692500646,1352692500646,1352692497980,0,0,1352692497982,1352692500607,1352692500607,2625,2664,1352692500608,1352692500608
