__fxdriver_unwrapped,connectEnd,connectStart,domComplete,domContentLoadedEventEnd,domContentLoadedEventStart,domInteractive,domLoading,domainLookupEnd,domainLookupStart,fetchStart,loadEventEnd,loadEventStart,navigationStart,redirectEnd,redirectStart,requestStart,responseEnd,responseStart,responseWaitTime,totalLoadWaitTime,unloadEventEnd,unloadEventStart
true,1352692229912,1352692229912,1352692230183,1352692230173,1352692230166,1352692230104,1352692229934,1352692229903,1352692229902,1352692229912,1352692230184,1352692230183,1352692229901,0,0,1352692229925,1352692229957,1352692229928,113,259,0,0
true,1352692230262,1352692230262,1352692230405,1352692230405,1352692230400,1352692230398,1352692230276,1352692230261,1352692230261,1352692230262,1352692230406,1352692230405,1352692230261,0,0,1352692230263,1352692230296,1352692230267,78,143,1352692230277,1352692230277
true,1352692230472,1352692230472,1352692230626,1352692230625,1352692230620,1352692230614,1352692230477,1352692230472,1352692230472,1352692230472,1352692230626,1352692230626,1352692230472,0,0,1352692230473,1352692230517,1352692230476,78,153,1352692230477,1352692230477
true,1352692230690,1352692230690,1352692230842,1352692230842,1352692230837,1352692230833,1352692230710,1352692230689,1352692230689,1352692230690,1352692230843,1352692230842,1352692230689,0,0,1352692230690,1352692230724,1352692230694,86,153,1352692230710,1352692230710
true,1352692230916,1352692230916,1352692231073,1352692231073,1352692231057,1352692231044,1352692230920,1352692230915,1352692230915,1352692230916,1352692231074,1352692231073,1352692230915,0,0,1352692230916,1352692230948,1352692230920,78,158,1352692230920,1352692230920
true,1352692231143,1352692231143,1352692231309,1352692231309,1352692231303,1352692231301,1352692231166,1352692231142,1352692231142,1352692231143,1352692231310,1352692231309,1352692231142,0,0,1352692231143,1352692231187,1352692231146,83,167,1352692231166,1352692231166
true,1352692231463,1352692231463,1352692231628,1352692231628,1352692231622,1352692231620,1352692231482,1352692231463,1352692231463,1352692231463,1352692231628,1352692231628,1352692231463,0,0,1352692231477,1352692231518,1352692231482,76,151,1352692231482,1352692231482
true,1352692231698,1352692231698,1352692231853,1352692231852,1352692231847,1352692231836,1352692231702,1352692231696,1352692231696,1352692231698,1352692231853,1352692231853,1352692231696,0,0,1352692231698,1352692231730,1352692231702,79,155,1352692231702,1352692231702
true,1352692231922,1352692231922,1352692232075,1352692232074,1352692232069,1352692232061,1352692231926,1352692231920,1352692231920,1352692231922,1352692232076,1352692232075,1352692231920,0,0,1352692231922,1352692231954,1352692231926,80,154,1352692231926,1352692231926
true,1352692232144,1352692232144,1352692232308,1352692232306,1352692232301,1352692232287,1352692232160,1352692232143,1352692232143,1352692232144,1352692232308,1352692232308,1352692232143,0,0,1352692232144,1352692232177,1352692232148,86,164,1352692232161,1352692232161
true,1352692232388,1352692232388,1352692232556,1352692232554,1352692232549,1352692232540,1352692232394,1352692232387,1352692232387,1352692232388,1352692232556,1352692232556,1352692232387,0,0,1352692232388,1352692232454,1352692232393,94,168,1352692232394,1352692232394
true,1352692232623,1352692232623,1352692232780,1352692232779,1352692232774,1352692232762,1352692232640,1352692232622,1352692232622,1352692232623,1352692232780,1352692232780,1352692232622,0,0,1352692232636,1352692232675,1352692232640,72,144,1352692232640,1352692232640
true,1352692232852,1352692232852,1352692232998,1352692232997,1352692232992,1352692232979,1352692232870,1352692232852,1352692232852,1352692232852,1352692232998,1352692232998,1352692232852,0,0,1352692232853,1352692232885,1352692232857,81,145,1352692232870,1352692232870
true,1352692233068,1352692233068,1352692233216,1352692233216,1352692233210,1352692233192,1352692233086,1352692233067,1352692233067,1352692233068,1352692233217,1352692233216,1352692233067,0,0,1352692233068,1352692233102,1352692233073,79,149,1352692233087,1352692233086
true,1352692233285,1352692233285,1352692233443,1352692233441,1352692233436,1352692233426,1352692233293,1352692233284,1352692233284,1352692233285,1352692233444,1352692233443,1352692233284,0,0,1352692233286,1352692233319,1352692233291,83,158,1352692233294,1352692233293
true,1352692233514,1352692233514,1352692233673,1352692233673,1352692233668,1352692233659,1352692233532,1352692233513,1352692233513,1352692233514,1352692233674,1352692233673,1352692233513,0,0,1352692233528,1352692233560,1352692233532,76,146,1352692233533,1352692233533
true,1352692233747,1352692233747,1352692233908,1352692233908,1352692233902,1352692233896,1352692233763,1352692233746,1352692233746,1352692233747,1352692233909,1352692233908,1352692233746,0,0,1352692233748,1352692233780,1352692233751,86,161,1352692233763,1352692233763
true,1352692233984,1352692233984,1352692234132,1352692234131,1352692234125,1352692234118,1352692234002,1352692233983,1352692233983,1352692233984,1352692234132,1352692234132,1352692233983,0,0,1352692233985,1352692234018,1352692233988,81,147,1352692234003,1352692234003
true,1352692234199,1352692234199,1352692234377,1352692234377,1352692234372,1352692234369,1352692234203,1352692234198,1352692234198,1352692234199,1352692234378,1352692234377,1352692234198,0,0,1352692234199,1352692234231,1352692234203,83,179,1352692234203,1352692234203
true,1352692234447,1352692234447,1352692234600,1352692234600,1352692234593,1352692234590,1352692234469,1352692234446,1352692234446,1352692234447,1352692234600,1352692234600,1352692234446,0,0,1352692234460,1352692234494,1352692234465,71,140,1352692234470,1352692234469
true,1352692234769,1352692234769,1352692234921,1352692234920,1352692234915,1352692234907,1352692234785,1352692234768,1352692234768,1352692234769,1352692234921,1352692234921,1352692234768,0,0,1352692234771,1352692234806,1352692234774,82,150,1352692234785,1352692234785
true,1352692234989,1352692234989,1352692235457,1352692235139,1352692235134,1352692235117,1352692234993,1352692234988,1352692234988,1352692234989,1352692235458,1352692235457,1352692234988,0,0,1352692234989,1352692235021,1352692234993,77,469,1352692234993,1352692234993
true,1352692235547,1352692235547,1352692235701,1352692235700,1352692235695,1352692235691,1352692235560,1352692235546,1352692235546,1352692235547,1352692235701,1352692235701,1352692235546,0,0,1352692235548,1352692235582,1352692235553,83,153,1352692235561,1352692235561
true,1352692235770,1352692235770,1352692235930,1352692235930,1352692235924,1352692235912,1352692235786,1352692235769,1352692235769,1352692235770,1352692235930,1352692235930,1352692235769,0,0,1352692235783,1352692235815,1352692235786,73,147,1352692235787,1352692235786
true,1352692236000,1352692236000,1352692236152,1352692236151,1352692236146,1352692236142,1352692236014,1352692235999,1352692235999,1352692236000,1352692236152,1352692236152,1352692235999,0,0,1352692236000,1352692236033,1352692236004,84,152,1352692236014,1352692236014
true,1352692236222,1352692236222,1352692236379,1352692236374,1352692236368,1352692236354,1352692236235,1352692236221,1352692236221,1352692236222,1352692236380,1352692236379,1352692236221,0,0,1352692236222,1352692236261,1352692236227,82,158,1352692236236,1352692236235
true,1352692236452,1352692236452,1352692236598,1352692236597,1352692236592,1352692236579,1352692236456,1352692236451,1352692236451,1352692236452,1352692236598,1352692236598,1352692236451,0,0,1352692236452,1352692236484,1352692236456,75,146,1352692236456,1352692236456
true,1352692236674,1352692236674,1352692236831,1352692236831,1352692236826,1352692236822,1352692236692,1352692236673,1352692236673,1352692236674,1352692236832,1352692236831,1352692236673,0,0,1352692236687,1352692236722,1352692236692,75,145,1352692236693,1352692236692
true,1352692236901,1352692236901,1352692237110,1352692237109,1352692237104,1352692237079,1352692236916,1352692236900,1352692236900,1352692236901,1352692237111,1352692237110,1352692236900,0,0,1352692236901,1352692236933,1352692236905,129,210,1352692236917,1352692236916
true,1352692237213,1352692237213,1352692237389,1352692237386,1352692237381,1352692237351,1352692237218,1352692237212,1352692237212,1352692237213,1352692237390,1352692237389,1352692237212,0,0,1352692237214,1352692237246,1352692237218,78,176,1352692237219,1352692237218
true,1352692237463,1352692237463,1352692237639,1352692237639,1352692237634,1352692237620,1352692237479,1352692237462,1352692237462,1352692237463,1352692237640,1352692237639,1352692237462,0,0,1352692237464,1352692237496,1352692237467,109,176,1352692237479,1352692237479
