__fxdriver_unwrapped,connectEnd,connectStart,domComplete,domContentLoadedEventEnd,domContentLoadedEventStart,domInteractive,domLoading,domainLookupEnd,domainLookupStart,fetchStart,loadEventEnd,loadEventStart,navigationStart,redirectEnd,redirectStart,requestStart,responseEnd,responseStart,responseWaitTime,totalLoadWaitTime,unloadEventEnd,unloadEventStart
true,1352693216096,1352693216096,1352693216760,1352693216387,1352693216387,1352693216378,1352693216274,1352693216087,1352693216086,1352693216096,1352693216761,1352693216760,1352693216085,0,0,1352693216109,1352693216274,1352693216274,165,652,0,0
true,1352693216828,1352693216828,1352693217005,1352693216998,1352693216997,1352693216996,1352693216978,1352693216827,1352693216827,1352693216828,1352693217006,1352693217005,1352693216827,0,0,1352693216841,1352693216978,1352693216978,137,165,1352693216979,1352693216978
true,1352693217075,1352693217075,1352693217248,1352693217241,1352693217241,1352693217239,1352693217220,1352693217074,1352693217074,1352693217075,1352693217249,1352693217248,1352693217074,0,0,1352693217075,1352693217219,1352693217219,144,174,1352693217220,1352693217220
true,1352693217327,1352693217327,1352693217573,1352693217572,1352693217572,1352693217563,1352693217534,1352693217326,1352693217326,1352693217327,1352693217573,1352693217573,1352693217326,0,0,1352693217327,1352693217480,1352693217480,153,246,1352693217534,1352693217534
true,1352693217642,1352693217642,1352693217833,1352693217826,1352693217825,1352693217814,1352693217795,1352693217641,1352693217641,1352693217642,1352693217833,1352693217833,1352693217641,0,0,1352693217642,1352693217795,1352693217795,153,191,1352693217795,1352693217795
true,1352693217904,1352693217904,1352693218075,1352693218067,1352693218067,1352693218065,1352693218041,1352693217903,1352693217903,1352693217904,1352693218075,1352693218075,1352693217903,0,0,1352693217904,1352693218041,1352693218041,137,171,1352693218042,1352693218041
true,1352693218175,1352693218175,1352693218366,1352693218359,1352693218359,1352693218357,1352693218334,1352693218174,1352693218174,1352693218175,1352693218367,1352693218366,1352693218174,0,0,1352693218175,1352693218334,1352693218334,159,192,1352693218335,1352693218334
true,1352693218442,1352693218442,1352693218626,1352693218618,1352693218618,1352693218616,1352693218587,1352693218440,1352693218440,1352693218442,1352693218626,1352693218626,1352693218440,0,0,1352693218443,1352693218586,1352693218586,143,183,1352693218587,1352693218587
true,1352693218699,1352693218699,1352693218885,1352693218878,1352693218877,1352693218875,1352693218846,1352693218697,1352693218697,1352693218699,1352693218886,1352693218885,1352693218697,0,0,1352693218699,1352693218845,1352693218845,146,187,1352693218846,1352693218846
true,1352693218958,1352693218958,1352693219130,1352693219122,1352693219122,1352693219119,1352693219096,1352693218957,1352693218957,1352693218958,1352693219130,1352693219130,1352693218957,0,0,1352693218960,1352693219095,1352693219095,135,170,1352693219096,1352693219096
