__fxdriver_unwrapped,connectEnd,connectStart,domComplete,domContentLoadedEventEnd,domContentLoadedEventStart,domInteractive,domLoading,domainLookupEnd,domainLookupStart,fetchStart,loadEventEnd,loadEventStart,navigationStart,redirectEnd,redirectStart,requestStart,responseEnd,responseStart,responseWaitTime,totalLoadWaitTime,unloadEventEnd,unloadEventStart
true,1352691382765,1352691382765,1352691385502,1352691384626,1352691384622,1352691384608,1352691382841,1352691382756,1352691382756,1352691382765,1352691385502,1352691385502,1352691382755,0,0,1352691382838,1352691382974,1352691382841,1668,2664,0,0
true,1352691385543,1352691385543,1352691385670,1352691385670,1352691385667,1352691385666,1352691385554,1352691385543,1352691385543,1352691385543,1352691385671,1352691385670,1352691385543,0,0,1352691385551,1352691385664,1352691385554,58,120,1352691385555,1352691385554
true,1352691385713,1352691385713,1352691385829,1352691385829,1352691385826,1352691385825,1352691385725,1352691385713,1352691385713,1352691385713,1352691385830,1352691385829,1352691385713,0,0,1352691385714,1352691385824,1352691385717,62,116,1352691385726,1352691385726
true,1352691385872,1352691385872,1352691385991,1352691385991,1352691385988,1352691385987,1352691385884,1352691385872,1352691385872,1352691385872,1352691385991,1352691385991,1352691385872,0,0,1352691385873,1352691385985,1352691385876,63,118,1352691385884,1352691385884
true,1352691386033,1352691386033,1352691386151,1352691386150,1352691386147,1352691386146,1352691386036,1352691386033,1352691386033,1352691386033,1352691386151,1352691386151,1352691386033,0,0,1352691386034,1352691386145,1352691386036,60,117,1352691386036,1352691386036
true,1352691386193,1352691386193,1352691386308,1352691386308,1352691386305,1352691386304,1352691386206,1352691386193,1352691386193,1352691386193,1352691386309,1352691386309,1352691386193,0,0,1352691386194,1352691386301,1352691386197,62,115,1352691386206,1352691386206
true,1352691386355,1352691386355,1352691386470,1352691386470,1352691386467,1352691386465,1352691386359,1352691386355,1352691386355,1352691386355,1352691386471,1352691386470,1352691386355,0,0,1352691386356,1352691386464,1352691386358,63,115,1352691386359,1352691386359
true,1352691386514,1352691386514,1352691386635,1352691386635,1352691386632,1352691386631,1352691386517,1352691386513,1352691386513,1352691386514,1352691386635,1352691386635,1352691386513,0,0,1352691386514,1352691386629,1352691386517,63,121,1352691386518,1352691386517
true,1352691386678,1352691386678,1352691386793,1352691386793,1352691386790,1352691386788,1352691386681,1352691386677,1352691386677,1352691386678,1352691386793,1352691386793,1352691386677,0,0,1352691386678,1352691386786,1352691386681,63,115,1352691386681,1352691386681
true,1352691386842,1352691386842,1352691386965,1352691386965,1352691386961,1352691386961,1352691386853,1352691386842,1352691386842,1352691386842,1352691386965,1352691386965,1352691386842,0,0,1352691386850,1352691386959,1352691386853,54,115,1352691386854,1352691386853
true,1352691387007,1352691387007,1352691387126,1352691387126,1352691387123,1352691387122,1352691387010,1352691387007,1352691387007,1352691387007,1352691387127,1352691387126,1352691387007,0,0,1352691387008,1352691387119,1352691387010,60,119,1352691387011,1352691387010
true,1352691387169,1352691387169,1352691387284,1352691387284,1352691387281,1352691387280,1352691387173,1352691387169,1352691387169,1352691387169,1352691387284,1352691387284,1352691387169,0,0,1352691387170,1352691387278,1352691387173,58,114,1352691387173,1352691387173
true,1352691387326,1352691387326,1352691387439,1352691387439,1352691387436,1352691387435,1352691387340,1352691387326,1352691387326,1352691387326,1352691387440,1352691387439,1352691387326,0,0,1352691387327,1352691387432,1352691387330,65,113,1352691387340,1352691387340
true,1352691387482,1352691387482,1352691387605,1352691387604,1352691387601,1352691387599,1352691387494,1352691387482,1352691387482,1352691387482,1352691387605,1352691387605,1352691387482,0,0,1352691387483,1352691387595,1352691387486,70,122,1352691387494,1352691387494
true,1352691387647,1352691387647,1352691387759,1352691387759,1352691387756,1352691387755,1352691387650,1352691387647,1352691387647,1352691387647,1352691387760,1352691387759,1352691387647,0,0,1352691387648,1352691387754,1352691387650,60,112,1352691387651,1352691387650
true,1352691387802,1352691387802,1352691387921,1352691387921,1352691387918,1352691387917,1352691387805,1352691387802,1352691387802,1352691387802,1352691387922,1352691387921,1352691387802,0,0,1352691387803,1352691387914,1352691387805,63,119,1352691387806,1352691387805
true,1352691387965,1352691387965,1352691388084,1352691388084,1352691388081,1352691388080,1352691387975,1352691387965,1352691387965,1352691387965,1352691388085,1352691388085,1352691387965,0,0,1352691387967,1352691388076,1352691387969,66,118,1352691387976,1352691387976
true,1352691388127,1352691388127,1352691388246,1352691388246,1352691388243,1352691388242,1352691388130,1352691388127,1352691388127,1352691388127,1352691388247,1352691388246,1352691388127,0,0,1352691388128,1352691388238,1352691388130,64,119,1352691388131,1352691388130
true,1352691388288,1352691388288,1352691388559,1352691388559,1352691388555,1352691388548,1352691388476,1352691388288,1352691388288,1352691388288,1352691388559,1352691388559,1352691388288,0,0,1352691388296,1352691388403,1352691388299,226,263,1352691388477,1352691388476
true,1352691388606,1352691388606,1352691388727,1352691388726,1352691388723,1352691388722,1352691388610,1352691388606,1352691388606,1352691388606,1352691388727,1352691388727,1352691388606,0,0,1352691388607,1352691388717,1352691388610,64,120,1352691388610,1352691388610
true,1352691388770,1352691388770,1352691388889,1352691388889,1352691388886,1352691388885,1352691388783,1352691388770,1352691388770,1352691388770,1352691388890,1352691388889,1352691388770,0,0,1352691388771,1352691388882,1352691388775,64,119,1352691388784,1352691388783
true,1352691388932,1352691388932,1352691389045,1352691389044,1352691389041,1352691389040,1352691388944,1352691388932,1352691388932,1352691388932,1352691389045,1352691389045,1352691388932,0,0,1352691388933,1352691389039,1352691388936,59,112,1352691388945,1352691388945
true,1352691389086,1352691389086,1352691389205,1352691389205,1352691389202,1352691389201,1352691389090,1352691389086,1352691389086,1352691389086,1352691389206,1352691389205,1352691389086,0,0,1352691389087,1352691389199,1352691389090,65,119,1352691389090,1352691389090
true,1352691389249,1352691389249,1352691389362,1352691389362,1352691389359,1352691389358,1352691389252,1352691389249,1352691389249,1352691389249,1352691389362,1352691389362,1352691389249,0,0,1352691389250,1352691389355,1352691389252,60,112,1352691389253,1352691389252
true,1352691389417,1352691389417,1352691389548,1352691389548,1352691389544,1352691389543,1352691389420,1352691389416,1352691389416,1352691389417,1352691389549,1352691389548,1352691389416,0,0,1352691389417,1352691389540,1352691389420,65,132,1352691389421,1352691389420
true,1352691389600,1352691389600,1352691389724,1352691389724,1352691389721,1352691389720,1352691389607,1352691389600,1352691389600,1352691389600,1352691389725,1352691389724,1352691389600,0,0,1352691389601,1352691389719,1352691389604,70,124,1352691389608,1352691389607
true,1352691389767,1352691389767,1352691389883,1352691389882,1352691389879,1352691389878,1352691389770,1352691389767,1352691389767,1352691389767,1352691389883,1352691389883,1352691389767,0,0,1352691389768,1352691389873,1352691389770,62,115,1352691389771,1352691389770
true,1352691389928,1352691389928,1352691390051,1352691390051,1352691390048,1352691390047,1352691389939,1352691389928,1352691389928,1352691389928,1352691390052,1352691390051,1352691389928,0,0,1352691389937,1352691390046,1352691389939,58,115,1352691389940,1352691389940
true,1352691390094,1352691390094,1352691390238,1352691390238,1352691390235,1352691390234,1352691390106,1352691390094,1352691390094,1352691390094,1352691390238,1352691390238,1352691390094,0,0,1352691390095,1352691390207,1352691390098,98,143,1352691390107,1352691390106
true,1352691390280,1352691390280,1352691390416,1352691390416,1352691390410,1352691390409,1352691390295,1352691390280,1352691390280,1352691390280,1352691390416,1352691390416,1352691390280,0,0,1352691390281,1352691390394,1352691390284,86,135,1352691390295,1352691390295
true,1352691390458,1352691390458,1352691390592,1352691390592,1352691390589,1352691390588,1352691390471,1352691390458,1352691390458,1352691390458,1352691390592,1352691390592,1352691390458,0,0,1352691390468,1352691390577,1352691390470,73,124,1352691390471,1352691390471
true,1352691390634,1352691390634,1352691390770,1352691390770,1352691390767,1352691390766,1352691390648,1352691390634,1352691390634,1352691390634,1352691390771,1352691390770,1352691390634,0,0,1352691390635,1352691390751,1352691390638,85,136,1352691390648,1352691390648
true,1352691390812,1352691390812,1352691390939,1352691390938,1352691390935,1352691390934,1352691390824,1352691390812,1352691390812,1352691390812,1352691390939,1352691390939,1352691390812,0,0,1352691390821,1352691390926,1352691390823,70,118,1352691390824,1352691390824
true,1352691390980,1352691390980,1352691391111,1352691391111,1352691391108,1352691391107,1352691390983,1352691390980,1352691390980,1352691390980,1352691391112,1352691391111,1352691390980,0,0,1352691390981,1352691391099,1352691390983,79,131,1352691390984,1352691390983
true,1352691391154,1352691391154,1352691391290,1352691391289,1352691391286,1352691391285,1352691391167,1352691391154,1352691391154,1352691391154,1352691391290,1352691391290,1352691391154,0,0,1352691391164,1352691391277,1352691391166,79,126,1352691391167,1352691391167
true,1352691391338,1352691391338,1352691391473,1352691391473,1352691391470,1352691391469,1352691391349,1352691391337,1352691391337,1352691391338,1352691391474,1352691391473,1352691391337,0,0,1352691391346,1352691391455,1352691391349,81,128,1352691391349,1352691391349
true,1352691391515,1352691391515,1352691391647,1352691391647,1352691391644,1352691391642,1352691391528,1352691391515,1352691391515,1352691391515,1352691391648,1352691391647,1352691391515,0,0,1352691391516,1352691391627,1352691391518,86,132,1352691391528,1352691391528
true,1352691391690,1352691391690,1352691391816,1352691391816,1352691391812,1352691391811,1352691391704,1352691391690,1352691391690,1352691391690,1352691391817,1352691391816,1352691391690,0,0,1352691391691,1352691391801,1352691391694,80,126,1352691391704,1352691391704
true,1352691391859,1352691391859,1352691392005,1352691392005,1352691392002,1352691392000,1352691391874,1352691391859,1352691391859,1352691391859,1352691392005,1352691392005,1352691391859,0,0,1352691391860,1352691391971,1352691391863,96,145,1352691391875,1352691391874
true,1352691392054,1352691392054,1352691392253,1352691392252,1352691392249,1352691392241,1352691392057,1352691392054,1352691392054,1352691392054,1352691392253,1352691392253,1352691392054,0,0,1352691392055,1352691392158,1352691392057,159,198,1352691392058,1352691392058
true,1352691392298,1352691392298,1352691392433,1352691392433,1352691392430,1352691392429,1352691392310,1352691392298,1352691392298,1352691392298,1352691392434,1352691392433,1352691392298,0,0,1352691392307,1352691392418,1352691392310,76,127,1352691392310,1352691392310
true,1352691392479,1352691392479,1352691392619,1352691392619,1352691392615,1352691392614,1352691392493,1352691392479,1352691392479,1352691392479,1352691392619,1352691392619,1352691392479,0,0,1352691392481,1352691392595,1352691392484,90,138,1352691392493,1352691392493
true,1352691392663,1352691392663,1352691392797,1352691392797,1352691392794,1352691392793,1352691392687,1352691392663,1352691392663,1352691392663,1352691392798,1352691392797,1352691392663,0,0,1352691392664,1352691392773,1352691392667,89,134,1352691392688,1352691392688
true,1352691392877,1352691392877,1352691393020,1352691393020,1352691393016,1352691392994,1352691392881,1352691392877,1352691392877,1352691392877,1352691393020,1352691393020,1352691392877,0,0,1352691392878,1352691392989,1352691392881,66,142,1352691392881,1352691392881
true,1352691393063,1352691393063,1352691393202,1352691393202,1352691393199,1352691393198,1352691393067,1352691393063,1352691393063,1352691393063,1352691393203,1352691393203,1352691393063,0,0,1352691393064,1352691393172,1352691393067,62,139,1352691393067,1352691393067
true,1352691393249,1352691393249,1352691393411,1352691393411,1352691393408,1352691393406,1352691393252,1352691393249,1352691393249,1352691393249,1352691393411,1352691393411,1352691393249,0,0,1352691393250,1352691393367,1352691393252,69,161,1352691393253,1352691393252
true,1352691393457,1352691393457,1352691393587,1352691393587,1352691393584,1352691393583,1352691393469,1352691393457,1352691393457,1352691393457,1352691393588,1352691393587,1352691393457,0,0,1352691393467,1352691393574,1352691393469,51,121,1352691393470,1352691393469
true,1352691393632,1352691393632,1352691393771,1352691393771,1352691393767,1352691393763,1352691393647,1352691393632,1352691393632,1352691393632,1352691393772,1352691393771,1352691393632,0,0,1352691393633,1352691393742,1352691393636,61,139,1352691393648,1352691393647
true,1352691393820,1352691393820,1352691394671,1352691394671,1352691394668,1352691394666,1352691393835,1352691393820,1352691393820,1352691393820,1352691394672,1352691394671,1352691393820,0,0,1352691393821,1352691393939,1352691393823,87,851,1352691393836,1352691393835
true,1352691394714,1352691394714,1352691394860,1352691394860,1352691394856,1352691394855,1352691394718,1352691394714,1352691394714,1352691394714,1352691394860,1352691394860,1352691394714,0,0,1352691394715,1352691394828,1352691394718,63,145,1352691394719,1352691394718
