__fxdriver_unwrapped,connectEnd,connectStart,domComplete,domContentLoadedEventEnd,domContentLoadedEventStart,domInteractive,domLoading,domainLookupEnd,domainLookupStart,fetchStart,loadEventEnd,loadEventStart,navigationStart,redirectEnd,redirectStart,requestStart,responseEnd,responseStart,responseWaitTime,totalLoadWaitTime,unloadEventEnd,unloadEventStart
true,1352691479357,1352691479357,1352691479977,1352691479956,1352691479956,1352691479953,1352691479714,1352691479348,1352691479347,1352691479357,1352691479977,1352691479977,1352691479346,0,0,1352691479376,1352691479714,1352691479714,338,601,0,0
true,1352691480025,1352691480025,1352691480189,1352691480185,1352691480185,1352691480184,1352691480174,1352691480025,1352691480025,1352691480025,1352691480189,1352691480189,1352691480025,0,0,1352691480026,1352691480174,1352691480174,148,163,1352691480174,1352691480174
true,1352691480232,1352691480232,1352691480392,1352691480388,1352691480388,1352691480387,1352691480377,1352691480232,1352691480232,1352691480232,1352691480392,1352691480392,1352691480232,0,0,1352691480233,1352691480377,1352691480377,144,159,1352691480377,1352691480377
true,1352691480434,1352691480434,1352691480596,1352691480592,1352691480592,1352691480591,1352691480580,1352691480434,1352691480434,1352691480434,1352691480596,1352691480596,1352691480434,0,0,1352691480435,1352691480580,1352691480580,145,161,1352691480581,1352691480580
true,1352691480645,1352691480645,1352691480977,1352691480976,1352691480976,1352691480969,1352691480842,1352691480645,1352691480645,1352691480645,1352691480977,1352691480977,1352691480645,0,0,1352691480655,1352691480842,1352691480842,187,322,1352691480842,1352691480842
true,1352691481034,1352691481034,1352691481246,1352691481242,1352691481242,1352691481241,1352691481228,1352691481033,1352691481033,1352691481034,1352691481246,1352691481246,1352691481033,0,0,1352691481034,1352691481228,1352691481228,194,212,1352691481228,1352691481228
true,1352691481307,1352691481307,1352691481520,1352691481516,1352691481515,1352691481510,1352691481494,1352691481307,1352691481307,1352691481307,1352691481521,1352691481520,1352691481307,0,0,1352691481308,1352691481493,1352691481493,185,213,1352691481495,1352691481494
true,1352691481571,1352691481571,1352691481815,1352691481810,1352691481809,1352691481808,1352691481787,1352691481570,1352691481570,1352691481571,1352691481815,1352691481815,1352691481570,0,0,1352691481571,1352691481786,1352691481786,215,244,1352691481787,1352691481787
true,1352691481876,1352691481876,1352691482219,1352691482219,1352691482218,1352691482210,1352691482157,1352691481875,1352691481875,1352691481876,1352691482220,1352691482219,1352691481875,0,0,1352691481877,1352691482157,1352691482157,280,343,1352691482158,1352691482157
true,1352691482286,1352691482286,1352691482629,1352691482628,1352691482628,1352691482620,1352691482551,1352691482286,1352691482286,1352691482286,1352691482629,1352691482629,1352691482286,0,0,1352691482288,1352691482551,1352691482551,263,341,1352691482551,1352691482551
true,1352691482683,1352691482683,1352691482885,1352691482878,1352691482877,1352691482875,1352691482858,1352691482682,1352691482682,1352691482683,1352691482885,1352691482885,1352691482682,0,0,1352691482683,1352691482858,1352691482858,175,202,1352691482859,1352691482858
true,1352691482944,1352691482944,1352691483185,1352691483184,1352691483184,1352691483175,1352691483133,1352691482944,1352691482944,1352691482944,1352691483185,1352691483185,1352691482944,0,0,1352691482945,1352691483133,1352691483132,187,240,1352691483133,1352691483133
true,1352691483249,1352691483249,1352691483651,1352691483650,1352691483650,1352691483641,1352691483567,1352691483248,1352691483248,1352691483249,1352691483651,1352691483651,1352691483248,0,0,1352691483249,1352691483567,1352691483567,318,402,1352691483568,1352691483567
true,1352691483717,1352691483717,1352691483905,1352691483901,1352691483901,1352691483900,1352691483889,1352691483717,1352691483717,1352691483717,1352691483905,1352691483905,1352691483717,0,0,1352691483718,1352691483889,1352691483889,171,187,1352691483890,1352691483889
true,1352691483958,1352691483958,1352691484154,1352691484148,1352691484148,1352691484146,1352691484131,1352691483958,1352691483958,1352691483958,1352691484154,1352691484154,1352691483958,0,0,1352691483959,1352691484131,1352691484130,171,195,1352691484131,1352691484131
true,1352691484210,1352691484210,1352691484430,1352691484426,1352691484425,1352691484424,1352691484407,1352691484209,1352691484209,1352691484210,1352691484430,1352691484430,1352691484209,0,0,1352691484210,1352691484407,1352691484407,197,220,1352691484408,1352691484407
true,1352691484566,1352691484566,1352691484977,1352691484970,1352691484969,1352691484968,1352691484933,1352691484565,1352691484565,1352691484566,1352691484978,1352691484977,1352691484565,0,0,1352691484567,1352691484933,1352691484933,366,411,1352691484933,1352691484933
true,1352691485045,1352691485045,1352691485566,1352691485560,1352691485559,1352691485558,1352691485540,1352691485044,1352691485044,1352691485045,1352691485566,1352691485566,1352691485044,0,0,1352691485045,1352691485540,1352691485540,495,521,1352691485541,1352691485540
true,1352691485636,1352691485636,1352691486049,1352691486042,1352691486042,1352691486040,1352691486012,1352691485635,1352691485635,1352691485636,1352691486049,1352691486049,1352691485635,0,0,1352691485636,1352691486011,1352691486011,375,413,1352691486012,1352691486012
true,1352691486096,1352691486096,1352691486308,1352691486302,1352691486301,1352691486300,1352691486280,1352691486096,1352691486096,1352691486096,1352691486308,1352691486308,1352691486096,0,0,1352691486097,1352691486280,1352691486280,183,211,1352691486280,1352691486280
true,1352691486365,1352691486365,1352691486560,1352691486556,1352691486556,1352691486555,1352691486543,1352691486364,1352691486364,1352691486365,1352691486560,1352691486560,1352691486364,0,0,1352691486376,1352691486543,1352691486543,167,184,1352691486544,1352691486543
true,1352691486662,1352691486662,1352691487185,1352691487179,1352691487178,1352691487176,1352691487147,1352691486661,1352691486661,1352691486662,1352691487186,1352691487186,1352691486661,0,0,1352691486663,1352691487145,1352691487144,481,523,1352691487147,1352691487147
true,1352691487252,1352691487252,1352691487776,1352691487769,1352691487768,1352691487767,1352691487749,1352691487251,1352691487251,1352691487252,1352691487776,1352691487776,1352691487251,0,0,1352691487252,1352691487749,1352691487749,497,524,1352691487750,1352691487749
