__fxdriver_unwrapped,connectEnd,connectStart,domComplete,domContentLoadedEventEnd,domContentLoadedEventStart,domInteractive,domLoading,domainLookupEnd,domainLookupStart,fetchStart,loadEventEnd,loadEventStart,navigationStart,redirectEnd,redirectStart,requestStart,responseEnd,responseStart,responseWaitTime,totalLoadWaitTime,unloadEventEnd,unloadEventStart
true,1352688195241,1352688195241,1352688200680,1352688200614,1352688200614,1352688200609,1352688200137,1352688195154,1352688195153,1352688195241,1352688200681,1352688200680,1352688195148,0,0,1352688195255,1352688200137,1352688200137,4882,5426,0,0
true,1352688200755,1352688200755,1352688205842,1352688205841,1352688205841,1352688205832,1352688205775,1352688200755,1352688200755,1352688200755,1352688205842,1352688205842,1352688200755,0,0,1352688200756,1352688205774,1352688205774,5018,5086,1352688205775,1352688205775
true,1352688205909,1352688205909,1352688210252,1352688210245,1352688210244,1352688210243,1352688210226,1352688205909,1352688205909,1352688205909,1352688210253,1352688210252,1352688205909,0,0,1352688205910,1352688210226,1352688210225,4315,4343,1352688210226,1352688210226
true,1352688210318,1352688210318,1352688216466,1352688216459,1352688216458,1352688216457,1352688216426,1352688210317,1352688210317,1352688210318,1352688216467,1352688216466,1352688210317,0,0,1352688210318,1352688216426,1352688216426,6108,6149,1352688216427,1352688216426
true,1352688216571,1352688216571,1352688221500,1352688221492,1352688221492,1352688221491,1352688221472,1352688216570,1352688216570,1352688216571,1352688221500,1352688221500,1352688216570,0,0,1352688216572,1352688221472,1352688221472,4900,4928,1352688221473,1352688221472
true,1352688221564,1352688221564,1352688226271,1352688226263,1352688226263,1352688226261,1352688226240,1352688221563,1352688221563,1352688221564,1352688226271,1352688226271,1352688221563,0,0,1352688221576,1352688226240,1352688226240,4664,4695,1352688226241,1352688226240
true,1352688226347,1352688226347,1352688231763,1352688231756,1352688231756,1352688231747,1352688231727,1352688226346,1352688226346,1352688226347,1352688231763,1352688231763,1352688226346,0,0,1352688226348,1352688231727,1352688231727,5379,5415,1352688231728,1352688231728
true,1352688231835,1352688231835,1352688237927,1352688237920,1352688237919,1352688237911,1352688237890,1352688231834,1352688231834,1352688231835,1352688237928,1352688237927,1352688231834,0,0,1352688231835,1352688237890,1352688237890,6055,6093,1352688237891,1352688237891
true,1352688238000,1352688238000,1352688242392,1352688242384,1352688242384,1352688242374,1352688242354,1352688237999,1352688237999,1352688238000,1352688242393,1352688242392,1352688237999,0,0,1352688238000,1352688242354,1352688242354,4354,4393,1352688242354,1352688242354
true,1352688242469,1352688242469,1352688247725,1352688247717,1352688247716,1352688247715,1352688247678,1352688242468,1352688242468,1352688242469,1352688247725,1352688247725,1352688242468,0,0,1352688242470,1352688247678,1352688247678,5208,5255,1352688247679,1352688247678
true,1352688247800,1352688247800,1352688252494,1352688252487,1352688252486,1352688252485,1352688252467,1352688247799,1352688247799,1352688247800,1352688252495,1352688252494,1352688247799,0,0,1352688247800,1352688252467,1352688252467,4667,4695,1352688252468,1352688252467
true,1352688252561,1352688252561,1352688256580,1352688256576,1352688256576,1352688256575,1352688256563,1352688252560,1352688252560,1352688252561,1352688256580,1352688256580,1352688252560,0,0,1352688252561,1352688256562,1352688256562,4001,4019,1352688256563,1352688256563
true,1352688256626,1352688256626,1352688261939,1352688261932,1352688261931,1352688261923,1352688261903,1352688256626,1352688256626,1352688256626,1352688261940,1352688261939,1352688256626,0,0,1352688256627,1352688261903,1352688261903,5276,5313,1352688261904,1352688261903
true,1352688262013,1352688262013,1352688266756,1352688266749,1352688266748,1352688266747,1352688266719,1352688262012,1352688262012,1352688262013,1352688266756,1352688266756,1352688262012,0,0,1352688262013,1352688266718,1352688266718,4705,4743,1352688266719,1352688266719
true,1352688266824,1352688266824,1352688270801,1352688270794,1352688270793,1352688270791,1352688270760,1352688266823,1352688266823,1352688266824,1352688270802,1352688270801,1352688266823,0,0,1352688266824,1352688270760,1352688270760,3936,3978,1352688270761,1352688270760
true,1352688270885,1352688270885,1352688277573,1352688277566,1352688277565,1352688277557,1352688277537,1352688270884,1352688270884,1352688270885,1352688277574,1352688277573,1352688270884,0,0,1352688270887,1352688277536,1352688277536,6649,6687,1352688277537,1352688277537
true,1352688277652,1352688277652,1352688282471,1352688282465,1352688282464,1352688282456,1352688282436,1352688277651,1352688277651,1352688277652,1352688282472,1352688282471,1352688277651,0,0,1352688277652,1352688282436,1352688282436,4784,4820,1352688282436,1352688282436
true,1352688282545,1352688282545,1352688286743,1352688286736,1352688286735,1352688286725,1352688286706,1352688282544,1352688282544,1352688282545,1352688286744,1352688286743,1352688282544,0,0,1352688282545,1352688286706,1352688286706,4161,4199,1352688286707,1352688286706
true,1352688286810,1352688286810,1352688293043,1352688293036,1352688293036,1352688293035,1352688293014,1352688286809,1352688286809,1352688286810,1352688293044,1352688293043,1352688286809,0,0,1352688286810,1352688293014,1352688293014,6204,6234,1352688293015,1352688293014
true,1352688293112,1352688293112,1352688298122,1352688298116,1352688298116,1352688298114,1352688298096,1352688293112,1352688293112,1352688293112,1352688298122,1352688298122,1352688293112,0,0,1352688293123,1352688298096,1352688298096,4973,4999,1352688298096,1352688298096
true,1352688298183,1352688298183,1352688302873,1352688302865,1352688302864,1352688302863,1352688302844,1352688298183,1352688298183,1352688298183,1352688302873,1352688302873,1352688298183,0,0,1352688298184,1352688302844,1352688302844,4660,4689,1352688302845,1352688302845
true,1352688302939,1352688302939,1352688309334,1352688309330,1352688309329,1352688309328,1352688309313,1352688302938,1352688302938,1352688302939,1352688309334,1352688309334,1352688302938,0,0,1352688302950,1352688309313,1352688309312,6362,6384,1352688309314,1352688309313
true,1352688309395,1352688309395,1352688314271,1352688314264,1352688314264,1352688314263,1352688314248,1352688309394,1352688309394,1352688309395,1352688314272,1352688314271,1352688309394,0,0,1352688309396,1352688314248,1352688314248,4852,4876,1352688314249,1352688314248
true,1352688314334,1352688314334,1352688319165,1352688319158,1352688319158,1352688319157,1352688319138,1352688314334,1352688314334,1352688314334,1352688319166,1352688319165,1352688314334,0,0,1352688314337,1352688319138,1352688319138,4801,4829,1352688319139,1352688319139
true,1352688319227,1352688319227,1352688324639,1352688324632,1352688324631,1352688324629,1352688324598,1352688319226,1352688319226,1352688319227,1352688324640,1352688324639,1352688319226,0,0,1352688319228,1352688324597,1352688324597,5369,5412,1352688324598,1352688324598
true,1352688324719,1352688324719,1352688328883,1352688328882,1352688328882,1352688328826,1352688328762,1352688324718,1352688324718,1352688324719,1352688328883,1352688328883,1352688324718,0,0,1352688324721,1352688328762,1352688328762,4041,4162,1352688328762,1352688328762
true,1352688328999,1352688328999,1352688336988,1352688336987,1352688336987,1352688336892,1352688336069,1352688328998,1352688328998,1352688328999,1352688336988,1352688336988,1352688328998,0,0,1352688329000,1352688336069,1352688336069,7069,7988,1352688336070,1352688336069
true,1352688337105,1352688337105,1352688341989,1352688341981,1352688341981,1352688341979,1352688341950,1352688337104,1352688337104,1352688337105,1352688341989,1352688341989,1352688337104,0,0,1352688337107,1352688341950,1352688341950,4843,4882,1352688341951,1352688341951
