__fxdriver_unwrapped,connectEnd,connectStart,domComplete,domContentLoadedEventEnd,domContentLoadedEventStart,domInteractive,domLoading,domainLookupEnd,domainLookupStart,fetchStart,loadEventEnd,loadEventStart,navigationStart,redirectEnd,redirectStart,requestStart,responseEnd,responseStart,responseWaitTime,totalLoadWaitTime,unloadEventEnd,unloadEventStart
true,1352687933675,1352687933675,1352687939108,1352687939108,1352687939100,1352687939099,1352687933694,1352687933666,1352687933665,1352687933675,1352687939109,1352687939108,1352687933665,0,0,1352687933686,1352687939096,1352687933689,1238,5423,0,0
true,1352687939186,1352687939186,1352687944160,1352687944160,1352687944154,1352687944153,1352687939190,1352687939185,1352687939185,1352687939186,1352687944161,1352687944161,1352687939185,0,0,1352687939186,1352687944152,1352687939189,552,4975,1352687939190,1352687939190
true,1352687944242,1352687944242,1352687949818,1352687949818,1352687949812,1352687949811,1352687944248,1352687944242,1352687944242,1352687944242,1352687949819,1352687949818,1352687944242,0,0,1352687944244,1352687949810,1352687944248,855,5575,1352687944249,1352687944248
true,1352687949874,1352687949874,1352687955264,1352687955263,1352687955257,1352687955256,1352687949881,1352687949874,1352687949874,1352687949874,1352687955264,1352687955264,1352687949874,0,0,1352687949875,1352687955256,1352687949881,913,5389,1352687949881,1352687949881
true,1352687955330,1352687955330,1352687960109,1352687960109,1352687960105,1352687960090,1352687955334,1352687955329,1352687955329,1352687955330,1352687960110,1352687960109,1352687955329,0,0,1352687955330,1352687960089,1352687955333,534,4780,1352687955334,1352687955334
true,1352687960166,1352687960166,1352687965307,1352687965307,1352687965300,1352687965299,1352687960170,1352687960165,1352687960165,1352687960166,1352687965308,1352687965307,1352687960165,0,0,1352687960166,1352687965299,1352687960170,743,5142,1352687960170,1352687960170
true,1352687965373,1352687965373,1352687970574,1352687970573,1352687970567,1352687970566,1352687965377,1352687965372,1352687965372,1352687965373,1352687970574,1352687970574,1352687965372,0,0,1352687965373,1352687970566,1352687965377,914,5201,1352687965378,1352687965377
true,1352687970636,1352687970636,1352687975758,1352687975757,1352687975752,1352687975750,1352687970640,1352687970635,1352687970635,1352687970636,1352687975758,1352687975758,1352687970635,0,0,1352687970636,1352687975734,1352687970640,584,5122,1352687970640,1352687970640
true,1352687975813,1352687975813,1352687981157,1352687981157,1352687981151,1352687981150,1352687975817,1352687975813,1352687975813,1352687975813,1352687981158,1352687981158,1352687975813,0,0,1352687975814,1352687981149,1352687975817,742,5344,1352687975818,1352687975817
true,1352687981212,1352687981212,1352687985284,1352687985283,1352687985278,1352687985277,1352687981227,1352687981211,1352687981211,1352687981212,1352687985284,1352687985284,1352687981211,0,0,1352687981212,1352687985275,1352687981216,629,4072,1352687981228,1352687981227
true,1352687985347,1352687985347,1352687991051,1352687991051,1352687991048,1352687991047,1352687985360,1352687985346,1352687985346,1352687985347,1352687991052,1352687991051,1352687985346,0,0,1352687985348,1352687991046,1352687985353,870,5704,1352687985360,1352687985360
true,1352687991092,1352687991092,1352687996238,1352687996237,1352687996234,1352687996233,1352687991104,1352687991091,1352687991091,1352687991092,1352687996238,1352687996238,1352687991091,0,0,1352687991093,1352687996232,1352687991096,771,5145,1352687991105,1352687991104
true,1352687996280,1352687996280,1352688000056,1352688000056,1352688000050,1352688000049,1352687996291,1352687996280,1352687996280,1352687996280,1352688000057,1352688000056,1352687996280,0,0,1352687996289,1352688000048,1352687996291,551,3768,1352687996292,1352687996291
true,1352688000119,1352688000119,1352688006235,1352688006234,1352688006228,1352688006227,1352688000123,1352688000118,1352688000118,1352688000119,1352688006235,1352688006235,1352688000118,0,0,1352688000119,1352688006226,1352688000123,609,6116,1352688000123,1352688000123
true,1352688006289,1352688006289,1352688012040,1352688012040,1352688012034,1352688012032,1352688006293,1352688006288,1352688006288,1352688006289,1352688012041,1352688012040,1352688006288,0,0,1352688006289,1352688012031,1352688006292,920,5752,1352688006293,1352688006293
true,1352688012100,1352688012100,1352688016066,1352688016066,1352688016060,1352688016058,1352688012104,1352688012099,1352688012099,1352688012100,1352688016066,1352688016066,1352688012099,0,0,1352688012100,1352688016057,1352688012104,483,3966,1352688012104,1352688012104
