__fxdriver_unwrapped,connectEnd,connectStart,domComplete,domContentLoadedEventEnd,domContentLoadedEventStart,domInteractive,domLoading,domainLookupEnd,domainLookupStart,fetchStart,loadEventEnd,loadEventStart,navigationStart,redirectEnd,redirectStart,requestStart,responseEnd,responseStart,responseWaitTime,totalLoadWaitTime,unloadEventEnd,unloadEventStart
true,1352694528960,1352694528960,1352694529228,1352694529227,1352694529226,1352694529220,1352694529119,1352694528953,1352694528949,1352694528960,1352694529228,1352694529228,1352694528947,0,0,1352694528972,1352694529118,1352694529118,146,256,0,0
true,1352694529307,1352694529307,1352694529476,1352694529469,1352694529468,1352694529467,1352694529449,1352694529306,1352694529306,1352694529307,1352694529476,1352694529476,1352694529306,0,0,1352694529307,1352694529445,1352694529445,138,169,1352694529449,1352694529449
true,1352694529551,1352694529551,1352694529723,1352694529715,1352694529715,1352694529712,1352694529692,1352694529550,1352694529550,1352694529551,1352694529723,1352694529723,1352694529550,0,0,1352694529552,1352694529692,1352694529692,140,171,1352694529693,1352694529692
true,1352694529815,1352694529815,1352694530054,1352694530047,1352694530046,1352694530040,1352694530020,1352694529814,1352694529814,1352694529815,1352694530055,1352694530054,1352694529814,0,0,1352694529838,1352694530020,1352694530020,182,217,1352694530021,1352694530021
true,1352694530121,1352694530121,1352694530343,1352694530343,1352694530342,1352694530332,1352694530258,1352694530121,1352694530121,1352694530121,1352694530344,1352694530343,1352694530121,0,0,1352694530122,1352694530258,1352694530258,136,222,1352694530259,1352694530258
true,1352694530408,1352694530408,1352694530572,1352694530564,1352694530563,1352694530562,1352694530543,1352694530407,1352694530407,1352694530408,1352694530572,1352694530572,1352694530407,0,0,1352694530408,1352694530543,1352694530543,135,164,1352694530544,1352694530544
true,1352694530650,1352694530650,1352694530836,1352694530829,1352694530828,1352694530826,1352694530807,1352694530649,1352694530649,1352694530650,1352694530837,1352694530836,1352694530649,0,0,1352694530650,1352694530807,1352694530807,157,187,1352694530807,1352694530807
true,1352694530908,1352694530908,1352694531081,1352694531073,1352694531073,1352694531070,1352694531051,1352694530906,1352694530906,1352694530908,1352694531081,1352694531081,1352694530906,0,0,1352694530909,1352694531051,1352694531051,142,172,1352694531052,1352694531052
true,1352694531147,1352694531147,1352694531316,1352694531309,1352694531308,1352694531307,1352694531287,1352694531145,1352694531145,1352694531147,1352694531317,1352694531316,1352694531145,0,0,1352694531147,1352694531284,1352694531284,137,170,1352694531287,1352694531287
true,1352694531387,1352694531387,1352694531556,1352694531549,1352694531549,1352694531547,1352694531527,1352694531386,1352694531386,1352694531387,1352694531557,1352694531556,1352694531386,0,0,1352694531387,1352694531525,1352694531524,137,170,1352694531528,1352694531528
true,1352694531632,1352694531632,1352694531817,1352694531809,1352694531809,1352694531807,1352694531787,1352694531632,1352694531632,1352694531632,1352694531817,1352694531817,1352694531632,0,0,1352694531633,1352694531787,1352694531787,154,184,1352694531788,1352694531787
true,1352694531884,1352694531884,1352694532150,1352694532150,1352694532149,1352694532141,1352694532091,1352694531883,1352694531883,1352694531884,1352694532151,1352694532150,1352694531883,0,0,1352694531884,1352694532091,1352694532091,207,267,1352694532092,1352694532092
true,1352694532217,1352694532217,1352694532382,1352694532374,1352694532374,1352694532372,1352694532352,1352694532216,1352694532216,1352694532217,1352694532383,1352694532382,1352694532216,0,0,1352694532217,1352694532352,1352694532352,135,166,1352694532352,1352694532352
true,1352694532451,1352694532451,1352694532618,1352694532611,1352694532610,1352694532609,1352694532590,1352694532450,1352694532450,1352694532451,1352694532619,1352694532619,1352694532450,0,0,1352694532452,1352694532590,1352694532590,138,167,1352694532591,1352694532590
