__fxdriver_unwrapped,connectEnd,connectStart,domComplete,domContentLoadedEventEnd,domContentLoadedEventStart,domInteractive,domLoading,domainLookupEnd,domainLookupStart,fetchStart,loadEventEnd,loadEventStart,navigationStart,redirectEnd,redirectStart,requestStart,responseEnd,responseStart,responseWaitTime,totalLoadWaitTime,unloadEventEnd,unloadEventStart
true,1352694508339,1352694508339,1352694508896,1352694508684,1352694508677,1352694508585,1352694508360,1352694508330,1352694508329,1352694508339,1352694508897,1352694508896,1352694508328,0,0,1352694508351,1352694508396,1352694508356,129,546,0,0
true,1352694508959,1352694508959,1352694509108,1352694509107,1352694509096,1352694509091,1352694508964,1352694508958,1352694508958,1352694508959,1352694509108,1352694509108,1352694508958,0,0,1352694508959,1352694509014,1352694508964,63,149,1352694508965,1352694508964
true,1352694509183,1352694509183,1352694509335,1352694509334,1352694509325,1352694509312,1352694509187,1352694509182,1352694509182,1352694509183,1352694509335,1352694509335,1352694509182,0,0,1352694509183,1352694509215,1352694509187,75,152,1352694509187,1352694509187
true,1352694509426,1352694509426,1352694509597,1352694509594,1352694509589,1352694509568,1352694509444,1352694509425,1352694509425,1352694509426,1352694509597,1352694509597,1352694509425,0,0,1352694509426,1352694509458,1352694509430,79,171,1352694509444,1352694509444
true,1352694509681,1352694509681,1352694509822,1352694509821,1352694509816,1352694509804,1352694509696,1352694509680,1352694509680,1352694509681,1352694509822,1352694509822,1352694509680,0,0,1352694509682,1352694509714,1352694509685,77,140,1352694509696,1352694509696
true,1352694509888,1352694509888,1352694510040,1352694510039,1352694510034,1352694510026,1352694509893,1352694509887,1352694509887,1352694509888,1352694510041,1352694510040,1352694509887,0,0,1352694509889,1352694509922,1352694509892,80,152,1352694509893,1352694509893
true,1352694510129,1352694510129,1352694510281,1352694510280,1352694510275,1352694510266,1352694510144,1352694510128,1352694510128,1352694510129,1352694510281,1352694510281,1352694510128,0,0,1352694510130,1352694510163,1352694510134,81,151,1352694510145,1352694510145
true,1352694510348,1352694510348,1352694510512,1352694510511,1352694510506,1352694510486,1352694510352,1352694510346,1352694510346,1352694510348,1352694510512,1352694510512,1352694510346,0,0,1352694510348,1352694510383,1352694510351,79,164,1352694510353,1352694510352
true,1352694510635,1352694510635,1352694510796,1352694510794,1352694510789,1352694510782,1352694510652,1352694510633,1352694510633,1352694510635,1352694510797,1352694510796,1352694510633,0,0,1352694510648,1352694510681,1352694510652,76,149,1352694510653,1352694510652
true,1352694510871,1352694510871,1352694511034,1352694511033,1352694511028,1352694511020,1352694510895,1352694510870,1352694510870,1352694510871,1352694511035,1352694511034,1352694510870,0,0,1352694510885,1352694510918,1352694510889,76,150,1352694510896,1352694510896
true,1352694511103,1352694511103,1352694511263,1352694511261,1352694511256,1352694511240,1352694511107,1352694511102,1352694511102,1352694511103,1352694511264,1352694511263,1352694511102,0,0,1352694511103,1352694511136,1352694511107,86,161,1352694511107,1352694511107
true,1352694511336,1352694511336,1352694511528,1352694511526,1352694511520,1352694511480,1352694511351,1352694511335,1352694511335,1352694511336,1352694511528,1352694511528,1352694511335,0,0,1352694511336,1352694511370,1352694511340,84,192,1352694511352,1352694511351
true,1352694511619,1352694511619,1352694511794,1352694511794,1352694511788,1352694511753,1352694511634,1352694511618,1352694511618,1352694511619,1352694511795,1352694511794,1352694511618,0,0,1352694511619,1352694511652,1352694511622,82,176,1352694511635,1352694511634
true,1352694511868,1352694511868,1352694512030,1352694512028,1352694512022,1352694512018,1352694511872,1352694511867,1352694511867,1352694511868,1352694512030,1352694512030,1352694511867,0,0,1352694511868,1352694511902,1352694511872,87,162,1352694511872,1352694511872
